jornada,region,mes,menor_70,entre_70_90,mayor_90,porc_menor_70,porc_entre_70_90,porc_mayor_90,tx_to_menor70,tx_to_entre70y90,tx_to_mayor90
22,Bogota Norte,201903,3,4,1,0.375,0.5,0.125,2900,17306,5377
22,Bogota Sur,201903,7,4,4,0.466666666666667,0.266666666666667,0.266666666666667,10869,19133,15784
22,Central,201903,8,1,2,0.727272727272727,0.0909090909090909,0.181818181818182,11929,2389,4787
22,Costa,201903,3,1,2,0.5,0.166666666666667,0.333333333333333,4184,2789,6073
22,Occidente,201903,4,0,0,1,0,0,11219,0,0
22,Oriente,201903,17,1,1,0.894736842105263,0.0526315789473684,0.0526315789473684,37322,2181,2796
23,Antioquia,201903,2,0,0,1,0,0,817,0,0
23,Banca Oficial II,201903,1,0,0,1,0,0,807,0,0
23,Bogota Norte,201903,13,0,0,1,0,0,11701,0,0
23,Bogota Sur,201903,7,1,0,0.875,0.125,0,7912,661,0
23,Central,201903,8,1,0,0.888888888888889,0.111111111111111,0,4141,1137,0
23,Costa,201903,4,1,0,0.8,0.2,0,3489,1136,0
23,Occidente,201903,3,0,0,1,0,0,1588,0,0
23,Oriente,201903,15,0,0,1,0,0,11693,0,0
21,Antioquia,201904,76,34,5,0.660869565217391,0.295652173913044,0.0434782608695652,448978,241908,52177
21,Banca Oficial II,201904,1,0,0,1,0,0,13910,0,0
21,Bogota Norte,201904,27,44,15,0.313953488372093,0.511627906976744,0.174418604651163,149900,376625,167864
21,Bogota Sur,201904,24,50,20,0.25531914893617,0.531914893617021,0.212765957446809,118814,459828,199179
21,Central,201904,51,40,12,0.495145631067961,0.388349514563107,0.116504854368932,207313,252930,89959
21,Costa,201904,69,22,5,0.71875,0.229166666666667,0.0520833333333333,349140,143509,34572
21,Direccion Banca Premium,201904,15,0,0,1,0,0,15651,0,0
21,Occidente,201904,29,42,32,0.281553398058252,0.407766990291262,0.310679611650485,158107,365832,300875
21,Oriente,201904,38,33,11,0.463414634146342,0.402439024390244,0.134146341463415,219154,215441,76866
22,Antioquia,201904,4,0,0,1,0,0,8792,0,0
22,Banca Oficial II,201904,1,0,0,1,0,0,2417,0,0
22,Bogota Norte,201904,1,3,2,0.166666666666667,0.5,0.333333333333333,2591,12602,10315
22,Bogota Sur,201904,6,5,4,0.4,0.333333333333333,0.266666666666667,8109,21758,15839
22,Central,201904,8,1,2,0.727272727272727,0.0909090909090909,0.181818181818182,12270,2243,4720
22,Costa,201904,4,0,2,0.666666666666667,0,0.333333333333333,7048,0,6259
22,Occidente,201904,4,0,0,1,0,0,11401,0,0
22,Oriente,201904,18,2,1,0.857142857142857,0.0952380952380952,0.0476190476190476,35423,5315,2847
23,Antioquia,201904,3,0,0,1,0,0,1120,0,0
23,Banca Oficial II,201904,1,0,0,1,0,0,292,0,0
23,Bogota Norte,201904,13,0,0,1,0,0,7455,0,0
23,Bogota Sur,201904,8,1,0,0.888888888888889,0.111111111111111,0,4745,339,0
23,Central,201904,8,1,0,0.888888888888889,0.111111111111111,0,2183,646,0
23,Costa,201904,5,0,0,1,0,0,2112,0,0
23,Occidente,201904,3,0,0,1,0,0,1084,0,0
23,Oriente,201904,16,0,0,1,0,0,6317,0,0
21,Antioquia,201905,88,25,2,0.765217391304348,0.217391304347826,0.0173913043478261,570668,182037,39531
21,Banca Oficial II,201905,1,0,0,1,0,0,14100,0,0
21,Bogota Norte,201905,48,36,2,0.558139534883721,0.418604651162791,0.0232558139534884,307075,347067,22337
21,Bogota Sur,201905,43,48,3,0.457446808510638,0.51063829787234,0.0319148936170213,286443,453273,35236
21,Central,201905,69,25,9,0.669902912621359,0.242718446601942,0.087378640776699,330992,161564,71634
21,Costa,201905,74,19,3,0.770833333333333,0.197916666666667,0.03125,405899,124930,24374
21,Direccion Banca Premium,201905,15,0,0,1,0,0,13792,0,0
21,Occidente,201905,40,49,14,0.388349514563107,0.475728155339806,0.135922330097087,256907,449942,113831
21,Oriente,201905,49,23,11,0.590361445783133,0.27710843373494,0.132530120481928,311960,160031,77411
22,Antioquia,201905,4,0,0,1,0,0,11335,0,0
22,Banca Oficial II,201905,1,0,0,1,0,0,2533,0,0
22,Bogota Norte,201905,1,6,0,0.142857142857143,0.857142857142857,0,2688,24914,0
22,Bogota Sur,201905,6,6,3,0.4,0.4,0.2,9166,28218,11893
22,Central,201905,8,1,2,0.727272727272727,0.0909090909090909,0.181818181818182,13329,2593,5023
22,Costa,201905,4,1,2,0.571428571428571,0.142857142857143,0.285714285714286,6012,3453,6730
22,Occidente,201905,4,0,0,1,0,0,11379,0,0
22,Oriente,201905,20,1,0,0.952380952380952,0.0476190476190476,0,47051,2716,0
23,Antioquia,201905,2,0,0,1,0,0,663,0,0
23,Banca Oficial II,201905,1,0,0,1,0,0,564,0,0
23,Bogota Norte,201905,13,0,0,1,0,0,9462,0,0
23,Bogota Sur,201905,9,0,0,1,0,0,6386,0,0
23,Central,201905,8,1,0,0.888888888888889,0.111111111111111,0,3181,895,0
23,Costa,201905,7,0,0,1,0,0,3887,0,0
23,Occidente,201905,3,0,0,1,0,0,1877,0,0
23,Oriente,201905,16,0,0,1,0,0,9196,0,0
