llave,oficina_segun_terminal,numero_caja,mes,jornada,region,zona,nombre,tx,tasa_servicio,t_ocup
2109064,906,4,201903,21,Costa,No hay informacion,0906 - Oficina de Recaudos y Pagos Calle 72,2648,30.7632020531043,0.78251695747316
2109072,907,1,201903,21,Costa,Bolivar - San Andres/Prov.,0907 - Centro Comercial Caribe Plaza,2852,30.2646980932203,0.685346938467052
2109072,907,2,201903,21,Costa,Bolivar - San Andres/Prov.,0907 - Centro Comercial Caribe Plaza,2309,30.2646980932203,0.554861879705618
2109072,907,3,201903,21,Costa,Bolivar - San Andres/Prov.,0907 - Centro Comercial Caribe Plaza,2391,30.2646980932203,0.624529136637417
2109102,910,1,201903,21,Costa,Barranquilla Centro,0910 - Centro Comercial Portal del Prado,3032,30.3202614379085,0.757569225342452
2109102,910,2,201903,21,Costa,Barranquilla Centro,0910 - Centro Comercial Portal del Prado,3088,30.3202614379085,0.805107411216299
2109112,911,1,201903,21,Occidente,Valle del Cauca,0911 - Centro Comercial Viva Buenaventura,2539,30.2990625944965,0.761799745778628
2109112,911,2,201903,21,Occidente,Valle del Cauca,0911 - Centro Comercial Viva Buenaventura,1935,30.2990625944965,0.611132649854541
2109112,911,3,201903,21,Occidente,Valle del Cauca,0911 - Centro Comercial Viva Buenaventura,2140,30.2990625944965,0.642084070880765
2109122,912,1,201903,21,Antioquia,Risaralda,0912 - Centro Comercial Pereira Plaza,4287,30.5946080878682,1.01907439796704
2109122,912,2,201903,21,Antioquia,Risaralda,0912 - Centro Comercial Pereira Plaza,3725,30.5946080878682,0.885479853610269
2109132,913,1,201903,21,Antioquia,Risaralda,0913 - Centro Comercial Victoria Plaza,4032,30.7305458768873,0.954217880837934
2109132,913,2,201903,21,Antioquia,Risaralda,0913 - Centro Comercial Victoria Plaza,4578,30.7305458768873,1.08343488553474
2109142,914,1,201903,21,Antioquia,Municipios Antioquia,0914 - Guarne,3586,30.9719951295878,0.842051017084321
2109142,914,2,201903,21,Antioquia,Municipios Antioquia,0914 - Guarne,2163,30.9719951295878,0.604651803957648
2109202,920,1,201903,21,Central,Sabana,0920 - Siberia,2795,30.4666080843585,0.833998022974401
2109202,920,2,201903,21,Central,Sabana,0920 - Siberia,1757,30.4666080843585,0.699026607688025
2109243,924,1,201903,21,Direccion Banca Premium,Premium Bogota 1,0924 - Oficina Premium Urban Plaza,1107,29.3396567299006,0.343004570785599
2109372,937,1,201903,21,Central,Huila - Caqueta,0937 - Gigante,1878,30.7300319488818,0.444457130435194
2109397,939,1,201903,21,Occidente,No hay informacion,0939 - Terminal de Transportes Pasto,2771,30.5383129426916,0.824895243498963
2109397,939,2,201903,21,Occidente,No hay informacion,0939 - Terminal de Transportes Pasto,1888,30.5383129426916,0.562036167349708
2109422,942,1,201903,21,Antioquia,Municipios Antioquia,0942 - Santuario,2817,30.7664181753639,0.832371541045923
2109482,948,1,201903,21,Bogota Sur,Autopista Sur,0948 - Centro Comercial Miraflores,3107,30.9746233148295,0.91189017081385
2109482,948,2,201903,21,Bogota Sur,Autopista Sur,0948 - Centro Comercial Miraflores,3198,30.9746233148295,0.938598251130574
2109653,965,1,201903,21,Direccion Banca Premium,Premium Antioquia,0965 - San Fernando Plaza,594,29.8198653198653,0.181087336984136
2109683,968,1,201903,21,Direccion Banca Premium,Premium Occidente,0968 - Centro Comercial Unicentro Cali,1732,29.6732101616628,0.530628619541722
2109753,975,1,201903,21,Direccion Banca Premium,No hay informacion,0975 - Barranquilla,813,29.3493234932349,0.265079510538407
2109792,979,1,201903,21,Antioquia,Municipios Antioquia y Choco,0979 - Alameda Reyes,2141,30.2581177765548,0.643253374428914
2109792,979,2,201903,21,Antioquia,Municipios Antioquia y Choco,0979 - Alameda Reyes,1541,30.2581177765548,0.661408854337063
2109792,979,3,201903,21,Antioquia,Municipios Antioquia y Choco,0979 - Alameda Reyes,3395,30.2581177765548,1.07369660325286
2109792,979,4,201903,21,Antioquia,Municipios Antioquia y Choco,0979 - Alameda Reyes,191,30.2581177765548,0.573850511517621
2109802,980,1,201903,21,Antioquia,Municipios Antioquia,0980 - San Pedro de Los Milagros,2556,31.0670700958144,0.747941906484906
2109802,980,2,201903,21,Antioquia,Municipios Antioquia,0980 - San Pedro de Los Milagros,1410,31.0670700958144,0.687661768481819
2109812,981,1,201903,21,Antioquia,Quindio,0981 - Centro Comercial Unicentro Armenia,3049,30.1714805549238,0.734950524359558
2109812,981,2,201903,21,Antioquia,Quindio,0981 - Centro Comercial Unicentro Armenia,2790,30.1714805549238,0.672519502447742
2109812,981,3,201903,21,Antioquia,Quindio,0981 - Centro Comercial Unicentro Armenia,2955,30.1714805549238,0.741971001244429
2109832,983,1,201903,21,Antioquia,Sur Valle Aburra,0983 - La Estrella,2698,31.0895795246801,0.788922626238868
2109832,983,2,201903,21,Antioquia,Sur Valle Aburra,0983 - La Estrella,2772,31.0895795246801,0.810560978478184
2109842,984,1,201903,21,Antioquia,Municipios Antioquia y Choco,0984 - Puerto Boyaca,3336,31.0910692267042,0.780346857964589
2109842,984,2,201903,21,Antioquia,Municipios Antioquia y Choco,0984 - Puerto Boyaca,2341,31.0910692267042,0.570416165347442
2109853,985,1,201903,21,Direccion Banca Premium,No hay informacion,0985 - Cabecera - Bucaramanga,1283,29.1706936866719,0.399840898160248
2109892,989,1,201903,21,Bogota Norte,Carrera Septima,0989 - Calle 122 Carrera 15A,2337,30.4898434898435,0.696804316248184
2109892,989,2,201903,21,Bogota Norte,Carrera Septima,0989 - Calle 122 Carrera 15A,2263,30.4898434898435,0.674740337043064
2109892,989,3,201903,21,Bogota Norte,Carrera Septima,0989 - Calle 122 Carrera 15A,1406,30.4898434898435,0.419215604897282
2109912,991,1,201903,21,Occidente,Cali Centro,0991 - El Porvenir,2857,30.5959971236817,0.84889298321394
2109912,991,2,201903,21,Occidente,Cali Centro,0991 - El Porvenir,2922,30.5959971236817,0.868206264246109
2109912,991,3,201903,21,Occidente,Cali Centro,0991 - El Porvenir,2565,30.5959971236817,0.80224398133624
2109932,993,1,201903,21,Oriente,Casanare y Bucaramanga,0993 - Villanueva,3362,30.4221105527638,0.8037216566057
2109932,993,2,201903,21,Oriente,Casanare y Bucaramanga,0993 - Villanueva,2608,30.4221105527638,0.820355239843008
2109944,994,1,201903,21,Antioquia,No hay informacion,0994 - Oficina de Recaudos y Pagos Itagui,2373,30.8953568004383,0.69825143668259
