jornada,region,zona,mes,menor_70,entre_70_90,mayor_90,porc_menor_70,porc_entre_70_90,porc_mayor_90,tx_to_menor70,tx_to_entre70y90,tx_to_mayor90
21,Antioquia,Medellin Occidental,201808,5,6,0,0.454545454545455,0.545454545454545,0,27378,53477,0
21,Antioquia,Municipios Antioquia,201808,10,3,1,0.714285714285714,0.214285714285714,0.0714285714285714,50838,13118,8170
21,Antioquia,Municipios Antioquia y Choco,201808,10,2,1,0.769230769230769,0.153846153846154,0.0769230769230769,61986,15570,24321
21,Antioquia,No hay informacion,201808,7,0,1,0.875,0,0.125,56395,0,3423
21,Antioquia,Noroccidente Valle Aburra,201808,6,5,0,0.545454545454545,0.454545454545455,0,41579,42695,0
21,Antioquia,Quindio,201808,5,2,1,0.625,0.25,0.125,27946,13141,9935
21,Antioquia,Risaralda,201808,6,4,1,0.545454545454545,0.363636363636364,0.0909090909090909,41623,26422,8700
21,Antioquia,Sur Valle Aburra,201808,6,4,0,0.6,0.4,0,44657,30964,0
21,Banca Oficial II,No hay informacion,201808,1,0,0,1,0,0,10767,0,0
21,Bogota Norte,Autopista Nororiental,201808,2,5,2,0.222222222222222,0.555555555555556,0.222222222222222,14336,51532,23122
21,Bogota Norte,Calle 72,201808,6,5,0,0.545454545454545,0.454545454545455,0,41004,39281,0
21,Bogota Norte,Carrera Septima,201808,8,6,0,0.571428571428571,0.428571428571429,0,45136,50254,0
21,Bogota Norte,Chapinero,201808,5,5,0,0.5,0.5,0,34141,38686,0
21,Bogota Norte,No hay informacion,201808,10,0,0,1,0,0,41829,0,0
21,Bogota Norte,Noroccidente,201808,3,7,2,0.25,0.583333333333333,0.166666666666667,24581,68177,20201
21,Bogota Norte,Occidental,201808,2,8,2,0.166666666666667,0.666666666666667,0.166666666666667,15906,66519,24254
21,Bogota Norte,Santa Barbara,201808,7,2,0,0.777777777777778,0.222222222222222,0,47178,22126,0
21,Bogota Sur,Autopista Sur,201808,3,9,1,0.230769230769231,0.692307692307692,0.0769230769230769,19325,78073,9962
21,Bogota Sur,Calle 26,201808,4,6,1,0.363636363636364,0.545454545454545,0.0909090909090909,23614,54930,11465
21,Bogota Sur,Centro Oriental,201808,8,4,0,0.666666666666667,0.333333333333333,0,51543,28772,0
21,Bogota Sur,No hay informacion,201808,9,5,2,0.5625,0.3125,0.125,24546,48368,26948
21,Bogota Sur,Occidente,201808,1,7,2,0.1,0.7,0.2,7014,71717,22608
21,Bogota Sur,Sur Oriente,201808,3,8,0,0.272727272727273,0.727272727272727,0,27687,71442,0
21,Bogota Sur,Teusaquillo,201808,8,3,1,0.666666666666667,0.25,0.0833333333333333,46568,24402,12197
21,Bogota Sur,Zona Industrial,201808,3,8,0,0.272727272727273,0.727272727272727,0,26450,78936,0
21,Central,Cundinamarca,201808,5,9,0,0.357142857142857,0.642857142857143,0,24288,56550,0
21,Central,Girardot,201808,5,3,0,0.625,0.375,0,25223,14897,0
21,Central,Huila - Caqueta,201808,6,3,0,0.666666666666667,0.333333333333333,0,27186,15782,0
21,Central,Magdalena Alto,201808,5,3,2,0.5,0.3,0.2,25488,13618,17361
21,Central,Meta,201808,5,2,4,0.454545454545455,0.181818181818182,0.363636363636364,18320,8096,33818
21,Central,Neiva - Tolima,201808,10,1,0,0.909090909090909,0.0909090909090909,0,39360,2590,0
